0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /image/common/btn_list.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /image/common/img_trans.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /image/center/bul_minus.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /image/center/bg_dti_red.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /common/file/FileAttachBack.aspx HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /image/center/bg_dti_note01.gif HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /image/center/bg_dtimk_td.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /image/center/img_btn_bg.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:10:55:06 +0900] "GET /xMain/common/menu/DtiPreview_advertisement.html HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/ic_calendar.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/btn_dti_mk.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/img_transbg.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/img_trans.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/question.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/btn_input_s.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/bul_plus.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/bul_minus.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/bul_plus5.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/img_btn_txt_certificate_route.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/bg_dti_red.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/img_btn_top.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/btn_certificate_route_help.gif HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/img_btn_bottom.gif HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/btn_DTI_issp_b.gif HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/btn_list.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/btn_DTI_sav_b.gif HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/btn_reviewbill.gif HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/common/img_trans.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/bg_dti_red.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/bul_minus.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/bg_dtimk_td.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/bg_dti_note01.gif HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:07 +0900] "GET /image/center/img_btn_bg.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 56146
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/ic_calendar.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/btn_dti_mk.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/img_trans.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/img_transbg.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/btn_input_s.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/question.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/bul_plus.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/bul_minus.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/bul_plus5.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/bg_dti_red.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/img_btn_top.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/img_btn_txt_certificate_route.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/btn_certificate_route_help.gif HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/img_btn_bottom.gif HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/btn_DTI_issp_b.gif HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/btn_DTI_sav_b.gif HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/btn_list.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/btn_reviewbill.gif HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /common/file/FileAttachBack.aspx HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/common/img_trans.gif HTTP/1.1" 404 841
